Fecha UTC,Magnitud,Inicio_CO10,Inicio_AC04,Inicio_AC05,Inicio_CO05,Distancia a estación CO10,Distancia a estación AC04,Distancia a estación AC05,Distancia a estación CO05
2021-07-04T01:22:51,2.7,2021-07-04T01:22:57,2021-07-04T01:23:00,2021-07-04T01:23:06,2021-07-04T01:23:06,49.41,79.33,121.81,127.35
2021-07-04T01:25:18,3.0,2021-07-04T01:25:23,2021-07-04T01:25:28,2021-07-04T01:25:33,2021-07-04T01:25:33,48.38,81.1,123.13,126.45
2021-07-04T01:25:45,3.0,2021-07-04T01:25:51,2021-07-04T01:25:53,2021-07-04T01:25:59,2021-07-04T01:26:01,53.43,72.33,115.85,130.45
2021-07-04T01:44:56,2.6,2021-07-04T01:45:03,2021-07-04T01:45:05,2021-07-04T01:45:12,2021-07-04T01:45:12,58.13,79.83,132.04,136.46
2021-07-04T01:45:15,2.8,2021-07-04T01:45:23,2021-07-04T01:45:21,2021-07-04T01:45:26,2021-07-04T01:45:32,69.34,52.27,93.26,140.04
2021-07-04T01:48:07,2.5,2021-07-04T01:48:14,2021-07-04T01:48:15,2021-07-04T01:48:22,2021-07-04T01:48:24,59.47,70.4,121.62,137.13
2021-07-04T01:56:44,2.5,2021-07-04T01:56:50,2021-07-04T01:56:53,2021-07-04T01:56:59,2021-07-04T01:57:00,51.15,78.93,123.45,129.2
2021-07-04T02:22:19,2.6,2021-07-04T02:22:26,2021-07-04T02:22:28,2021-07-04T02:22:34,2021-07-04T02:22:35,57.06,73.32,122.78,134.91
2021-07-04T02:39:27,2.7,2021-07-04T02:39:31,2021-07-04T02:39:45,2021-07-04T02:39:42,2021-07-04T02:39:32,39.75,150.83,124.12,40.93
2021-07-04T02:42:25,2.6,2021-07-04T02:42:30,2021-07-04T02:42:34,2021-07-04T02:42:40,2021-07-04T02:42:40,47.92,80.21,121.17,125.82
2021-07-04T02:45:52,2.9,2021-07-04T02:45:58,2021-07-04T02:46:01,2021-07-04T02:46:07,2021-07-04T02:46:08,52.29,77.0,122.07,130.19
2021-07-04T03:12:57,2.5,2021-07-04T03:13:03,2021-07-04T03:13:06,2021-07-04T03:13:12,2021-07-04T03:13:12,49.88,79.07,122.03,127.82
2021-07-04T03:40:13,2.9,2021-07-04T03:40:21,2021-07-04T03:40:21,2021-07-04T03:40:29,2021-07-04T03:40:31,69.43,72.09,134.11,147.72
2021-07-04T04:27:39,2.7,2021-07-04T04:27:45,2021-07-04T04:27:48,2021-07-04T04:27:53,2021-07-04T04:27:54,50.29,77.85,120.69,128.08
2021-07-04T04:31:00,3.0,2021-07-04T04:31:05,2021-07-04T04:31:10,2021-07-04T04:31:15,2021-07-04T04:31:15,48.24,84.81,127.97,126.55
2021-07-04T04:36:41,2.9,2021-07-04T04:36:48,2021-07-04T04:36:50,2021-07-04T04:36:56,2021-07-04T04:36:57,58.02,73.72,124.51,136.01
2021-07-04T04:56:47,2.6,2021-07-04T04:56:53,2021-07-04T04:56:56,2021-07-04T04:57:02,2021-07-04T04:57:03,53.82,76.33,123.05,131.78
